Year,Rank,University Name, Score,Link,Country,City,Logo
2017, 338, università di padova, 34 ,https://www.topuniversities.com/universities/universita-di-padova, Italy, Italy, Europe
2017, 232, universität hamburg, 43 ,https://www.topuniversities.com/universities/universitat-hamburg, Germany, Germany, Europe
2017, 299, universität innsbruck, 37 ,https://www.topuniversities.com/universities/universitat-innsbruck, Austria, Austria, Europe
2017, 363, universität jena, 32 ,https://www.topuniversities.com/universities/universitat-jena, Germany, Germany, Europe
2017, 352, universität konstanz, 33 ,https://www.topuniversities.com/universities/universitat-konstanz, Germany, Germany, Europe
2017, 263, universität stuttgart, 39 ,https://www.topuniversities.com/universities/universitat-stuttgart, Germany, Germany, Europe
2017, 154, université catholique de louvain (uclouvain), 53 ,https://www.topuniversities.com/universities/universite-catholique-de-louvain-uclouvain, Belgium, Belgium, Europe
2017, 315, université de liège, 36 ,https://www.topuniversities.com/universities/universite-de-liege, Belgium, Belgium, Europe
2017, 327, université de montpellier, 35 ,https://www.topuniversities.com/universities/universite-de-montpellier, France, France, Europe
2017, 126, université de montréal , 59 ,https://www.topuniversities.com/universities/universite-de-montreal, Canada, Canada, North America
2017, 260, université de strasbourg, 40 ,https://www.topuniversities.com/universities/universite-de-strasbourg, France, France, Europe
2017, 262, université diderot  paris 7, 39 ,https://www.topuniversities.com/universities/universite-diderot-paris-7, France, France, Europe
2017, 206, université grenoble alpes, 46 ,https://www.topuniversities.com/universities/universite-grenoble-alpes, France, France, Europe
2017, 372, université laval, 32 ,https://www.topuniversities.com/universities/universite-laval, Canada, Canada, North America
2017, 228, université paris 1 panthéon-sorbonne , 43 ,https://www.topuniversities.com/universities/universite-paris-1-pantheon-sorbonne, France, France, Europe
2017, 377, université paris descartes, 31 ,https://www.topuniversities.com/universities/universite-paris-descartes, France, France, Europe
2017, 356, université paris-dauphine|| université psl, 33 ,https://www.topuniversities.com/universities/universite-paris-dauphine-universite-psl, France, France, Europe
2017, 241, université paris-saclay, 42 ,https://www.topuniversities.com/universities/universite-paris-saclay, France, France, Europe
2017, 221, université paris-sorbonne (paris iv), 44 ,https://www.topuniversities.com/universities/universite-paris-sorbonne-paris-iv, France, France, Europe
2017, 141, université pierre et marie curie (upmc), 56 ,https://www.topuniversities.com/universities/universite-pierre-et-marie-curie-upmc, France, France, Europe
2017, 98, uppsala university, 63 ,https://www.topuniversities.com/universities/uppsala-university, Sweden, Sweden, Europe
2017, 104, utrecht university, 62 ,https://www.topuniversities.com/universities/utrecht-university, Netherlands, Netherlands, Europe
2017, 382, v. n. karazin kharkiv national university, 31 ,https://www.topuniversities.com/universities/v-n-karazin-kharkiv-national-university, Ukraine, Ukraine, Europe
2017, 203, vanderbilt university, 46 ,https://www.topuniversities.com/universities/vanderbilt-university, United States, United States, North America
2017, 228, victoria university of wellington, 43 ,https://www.topuniversities.com/universities/victoria-university-wellington, New Zealand, New Zealand,  Wellington"
2017, 361, virginia polytechnic institute and state university, 32 ,https://www.topuniversities.com/universities/virginia-polytechnic-institute-state-university, United States, United States, North America
2017, 199, vrije universiteit amsterdam, 47 ,https://www.topuniversities.com/universities/vrije-universiteit-amsterdam, Netherlands, Netherlands, Europe
2017, 182, vrije universiteit brussel (vub), 49 ,https://www.topuniversities.com/universities/vrije-universiteit-brussel-vub, Belgium, Belgium, Europe
2017, 119, wageningen university & research, 59 ,https://www.topuniversities.com/universities/wageningen-university-research, Netherlands, Netherlands, Europe
2017, 201, waseda university, 47 ,https://www.topuniversities.com/universities/waseda-university, Japan, Japan, Asia
2017, 395, washington state university, 31 ,https://www.topuniversities.com/universities/washington-state-university, United States, United States, North America
2017, 106, washington university in st. louis, 62 ,https://www.topuniversities.com/universities/washington-university-st-louis, United States, United States, North America
2017, 198, western university, 47 ,https://www.topuniversities.com/universities/western-university, Canada, Canada, North America
2017, 294, westfälische wilhelms-universität münster , 37 ,https://www.topuniversities.com/universities/westfalische-wilhelms-universitat-munster, Germany, Germany, Europe
2017, 275, wuhan university, 38 ,https://www.topuniversities.com/universities/wuhan-university, China (Mainland), China (Mainland), Asia
2017, 318, xi’an jiaotong university, 36 ,https://www.topuniversities.com/universities/xian-jiaotong-university, China (Mainland), China (Mainland), Asia
2017, 15, yale university, 91 ,https://www.topuniversities.com/universities/yale-university, United States, United States, North America
2017, 330, yeshiva university, 35 ,https://www.topuniversities.com/universities/yeshiva-university, United States, United States, North America
2017, 112, yonsei university, 61 ,https://www.topuniversities.com/universities/yonsei-university, South Korea, South Korea, Asia
2017, 110, zhejiang university, 62 ,https://www.topuniversities.com/universities/zhejiang-university, China (Mainland), China (Mainland), Asia
2017, 177, école normale supérieure de lyon, 50 ,https://www.topuniversities.com/universities/ecole-normale-superieure-de-lyon, France, France, Europe
